generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
208,13,32,1,1,1,1,1,1,0,1,1,0,0.035000,1399,73,10,4,149,12.2800,0.4444,35.552,1,143,2992,20.0,80.0,20.0,80.0
208,14,32,0,1,1,0,0,1,0,1,0,1,0.037000,1392,73,10,4,149,4.4100,0.4444,35.550,1,143,2992,80.0,20.0,20.0,80.0
208,15,32,1,1,1,1,0,1,0,0,1,1,0.036000,1371,73,10,4,149,5.2600,0.4608,36.862,1,143,2992,40.0,60.0,20.0,80.0
208,16,32,1,1,1,1,1,1,0,0,0,1,0.036000,1371,73,10,4,149,5.4400,0.4608,36.862,1,143,2992,40.0,60.0,20.0,80.0
208,18,32,0,0,0,1,1,1,1,1,0,1,0.035000,1375,73,10,4,149,13.6700,0.4582,36.658,1,143,2992,60.0,40.0,20.0,80.0
208,19,32,1,1,0,0,1,0,0,0,1,1,0.033000,1403,73,10,4,149,3.3600,0.4450,35.598,1,143,2992,40.0,60.0,60.0,40.0
208,20,32,1,1,0,0,1,1,0,0,0,1,0.035000,1391,73,10,4,149,4.0400,0.4443,35.543,1,143,2992,60.0,40.0,40.0,60.0
208,21,32,1,1,0,1,1,1,1,1,1,1,0.038000,1339,73,10,4,140,20.7900,0.4443,35.543,1,143,2992,20.0,80.0,0.0,100.0
208,22,32,1,1,0,1,1,1,0,1,0,1,0.037000,1344,73,10,4,140,15.7600,0.4443,35.543,1,143,2992,60.0,40.0,0.0,100.0
208,28,32,0,0,1,1,0,1,0,1,1,1,0.035000,1370,73,10,4,149,13.0600,0.4608,36.862,1,143,2992,60.0,40.0,20.0,80.0
208,29,32,0,0,0,0,0,1,1,1,1,0,0.028000,1404,73,10,4,149,10.7200,0.4450,35.598,1,143,2992,60.0,40.0,60.0,40.0
209,1,32,1,0,1,1,0,1,1,1,0,1,0.035000,1387,73,10,4,149,12.7800,0.4584,36.675,1,143,2992,40.0,60.0,20.0,80.0
209,4,32,1,1,0,1,1,1,1,1,1,0,0.036000,1399,73,10,4,149,11.6100,0.4444,35.552,1,143,2992,20.0,80.0,20.0,80.0
209,5,32,1,0,1,1,1,1,1,1,1,0,0.029000,1412,73,10,4,149,10.9100,0.4444,35.554,1,143,2992,0.0,100.0,40.0,60.0
209,6,32,1,1,1,0,1,1,1,0,1,0,0.028000,1403,73,10,4,149,10.7700,0.4450,35.598,1,143,2992,0.0,100.0,60.0,40.0
209,7,32,0,0,1,1,1,1,1,1,1,1,0.037000,1326,73,10,4,149,23.9200,0.4394,35.151,1,143,2992,20.0,80.0,20.0,80.0
209,8,32,0,0,0,1,1,0,0,1,0,1,0.034000,1392,73,10,4,149,10.6200,0.4444,35.550,1,143,2992,80.0,20.0,40.0,60.0
209,9,32,1,1,0,0,0,1,0,1,1,1,0.037000,1390,73,10,4,149,8.0000,0.4443,35.543,1,143,2992,60.0,40.0,20.0,80.0
209,11,32,0,0,0,1,1,1,1,1,1,0,0.028000,1415,73,10,4,149,10.9100,0.4444,35.554,1,143,2992,40.0,60.0,40.0,60.0
209,17,32,0,0,0,1,0,1,0,1,1,1,0.035000,1378,73,10,4,149,13.0600,0.4611,36.886,1,143,2992,80.0,20.0,20.0,80.0
209,20,32,0,0,0,0,0,1,1,1,0,1,0.034000,1371,73,10,4,149,12.7800,0.4608,36.862,1,143,2992,80.0,20.0,40.0,60.0
209,21,32,1,0,0,1,0,1,1,1,1,0,0.028000,1412,73,10,4,149,10.7200,0.4444,35.554,1,143,2992,40.0,60.0,40.0,60.0
209,22,32,0,0,0,0,1,1,1,1,0,1,0.034000,1376,73,10,4,149,13.6700,0.4582,36.658,1,143,2992,60.0,40.0,40.0,60.0
209,26,32,1,1,1,1,1,1,0,0,1,1,0.038000,1322,73,10,4,149,6.3200,0.4394,35.151,1,143,2992,20.0,80.0,20.0,80.0
209,27,32,1,0,0,0,1,0,0,0,1,1,0.028000,1407,73,10,4,149,10.2500,0.4444,35.554,1,143,2992,40.0,60.0,80.0,20.0
210,1,32,0,0,0,0,0,1,0,1,0,1,0.032000,825,51,6,4,129,12.1700,0.3151,25.207,1,143,2992,100.0,0.0,40.0,60.0
210,6,32,1,0,0,0,1,1,1,0,1,1,0.034000,1410,73,10,4,149,10.8700,0.4444,35.554,1,143,2992,20.0,80.0,60.0,40.0
210,9,32,0,0,0,0,1,1,0,0,1,0,0.028000,1410,73,10,4,149,9.7000,0.4444,35.554,1,143,2992,60.0,40.0,80.0,20.0
210,13,32,1,0,0,0,1,1,1,1,0,0,0.027000,1403,73,10,4,149,10.5900,0.4450,35.598,1,143,2992,40.0,60.0,60.0,40.0
210,14,32,0,0,1,1,1,1,0,0,1,1,0.035000,1322,73,10,4,149,10.6600,0.4394,35.151,1,143,2992,40.0,60.0,40.0,60.0
210,15,32,1,1,1,0,1,1,0,0,1,0,0.028000,1403,73,10,4,149,10.3300,0.4450,35.598,1,143,2992,20.0,80.0,60.0,40.0
210,17,32,1,1,0,0,1,1,1,0,0,1,0.035000,1410,73,10,4,149,4.8200,0.4444,35.554,1,143,2992,40.0,60.0,40.0,60.0
210,18,32,1,0,0,0,1,1,1,1,0,1,0.033000,1383,73,10,4,149,13.6700,0.4584,36.675,1,143,2992,40.0,60.0,40.0,60.0
210,21,32,1,0,0,0,0,1,1,1,0,1,0.034000,1380,73,10,4,149,12.7800,0.4613,36.903,1,143,2992,60.0,40.0,40.0,60.0
210,22,32,0,0,0,0,0,1,0,1,0,0,0.027000,832,50,6,4,127,9.8200,0.3150,25.199,1,143,2992,100.0,0.0,60.0,40.0
210,23,32,1,0,1,0,1,1,1,1,1,1,0.035000,1381,73,10,4,149,23.9200,0.4610,36.879,1,143,2992,0.0,100.0,40.0,60.0
210,25,32,1,1,0,1,1,1,0,0,1,0,0.028000,1410,73,10,4,149,10.4900,0.4444,35.554,1,143,2992,40.0,60.0,40.0,60.0
