generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,s5_mult,s5_add,s6_mult,s6_add,s7_mult,s7_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
508,1,256,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0.075000,1376,60,9,4,614,1.8500,0.4911,29.467,1,1123,23628,100.0,0.0,12.5,87.5
508,2,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.076000,1989,75,13,4,620,9.3100,0.7250,43.503,1,1123,23628,87.5,12.5,87.5,12.5
508,4,256,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0.076000,1970,75,13,4,620,10.2400,0.7184,43.102,1,1123,23628,50.0,50.0,37.5,62.5
508,5,256,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0.076000,1970,75,13,4,620,9.0600,0.7184,43.102,1,1123,23628,62.5,37.5,87.5,12.5
508,6,256,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0.074000,1509,61,13,4,616,9.2600,0.5812,34.872,1,1123,23628,50.0,50.0,100.0,0.0
508,7,256,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.076000,1982,75,13,4,620,11.7000,0.7251,43.508,1,1123,23628,25.0,75.0,25.0,75.0
508,8,256,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.076000,1970,75,13,4,620,9.2000,0.7184,43.102,1,1123,23628,87.5,12.5,87.5,12.5
508,9,256,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0.076000,1970,75,13,4,620,9.2500,0.7184,43.102,1,1123,23628,62.5,37.5,87.5,12.5
508,10,256,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.076000,1970,75,13,4,620,9.3200,0.7184,43.102,1,1123,23628,75.0,25.0,87.5,12.5
508,11,256,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.076000,1970,75,13,4,620,9.7000,0.7184,43.102,1,1123,23628,25.0,75.0,37.5,62.5
508,12,256,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0.076000,1984,75,13,4,620,12.2200,0.7184,43.102,1,1123,23628,25.0,75.0,37.5,62.5
508,13,256,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0.076000,1975,75,13,4,620,9.5200,0.7184,43.102,1,1123,23628,50.0,50.0,62.5,37.5
508,14,256,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0.076000,1973,75,13,4,620,9.9300,0.7184,43.102,1,1123,23628,25.0,75.0,37.5,62.5
508,15,256,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0.076000,1970,75,13,4,620,9.4000,0.7184,43.102,1,1123,23628,12.5,87.5,75.0,25.0
508,17,256,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0.076000,1973,75,13,4,620,2.0800,0.7184,43.102,1,1123,23628,75.0,25.0,12.5,87.5
508,18,256,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0.074000,1509,61,13,4,616,9.2200,0.5812,34.872,1,1123,23628,12.5,87.5,100.0,0.0
508,19,256,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0.076000,1970,75,13,4,620,9.2800,0.7184,43.102,1,1123,23628,62.5,37.5,87.5,12.5
508,20,256,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0.076000,1984,75,13,4,620,6.1400,0.7250,43.503,1,1123,23628,12.5,87.5,12.5,87.5
508,21,256,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0.076000,1970,75,13,4,620,11.5500,0.7187,43.123,1,1123,23628,25.0,75.0,50.0,50.0
