generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,s5_mult,s5_add,s6_mult,s6_add,s7_mult,s7_add,s8_mult,s8_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
606,19,512,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0.076000,1988,78,13,4,627,9.8200,0.8012,42.729,1,2415,49104,44.4,55.6,33.3,66.7
606,20,512,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0.076000,1994,78,13,4,627,9.5400,0.8012,42.729,1,2415,49104,33.3,66.7,33.3,66.7
606,21,512,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.076000,1994,78,13,4,627,10.0000,0.8014,42.740,1,2415,49104,88.9,11.1,11.1,88.9
606,22,512,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.076000,1993,78,13,4,627,8.9700,0.8012,42.729,1,2415,49104,77.8,22.2,88.9,11.1
606,23,512,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0.076000,1989,78,13,4,627,9.4300,0.8014,42.740,1,2415,49104,44.4,55.6,44.4,55.6
606,24,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.075000,1396,63,9,4,621,9.2100,0.5525,29.467,1,2415,49104,100.0,0.0,88.9,11.1
606,25,512,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0.076000,1991,78,13,4,627,9.1000,0.8012,42.729,1,2415,49104,44.4,55.6,55.6,44.4
606,26,512,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0.076000,1992,78,13,4,627,9.3300,0.8012,42.729,1,2415,49104,55.6,44.4,44.4,55.6
606,27,512,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0.076000,1991,78,13,4,627,11.5600,0.8325,44.401,1,2415,49104,33.3,66.7,33.3,66.7
606,28,512,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0.076000,1993,78,13,4,627,9.1700,0.8014,42.740,1,2415,49104,77.8,22.2,44.4,55.6
606,29,512,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.076000,1991,78,13,4,627,11.4400,0.8012,42.729,1,2415,49104,33.3,66.7,44.4,55.6
607,0,512,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.076000,1991,78,13,4,627,8.9900,0.8325,44.401,1,2415,49104,88.9,11.1,88.9,11.1
607,2,512,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0.076000,1987,78,13,4,627,9.3000,0.8012,42.729,1,2415,49104,22.2,77.8,44.4,55.6
