generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
108,10,16,1,0,1,1,0,1,0,1,0.075000,1913,63,13,4,596,13.7400,0.5259,42.069,1,83,1628,50.0,50.0,25.0,75.0
108,11,16,1,1,1,0,1,0,1,0,0.075000,1909,63,13,4,596,4.6000,0.5259,42.069,1,83,1628,0.0,100.0,75.0,25.0
108,16,16,0,1,1,1,1,1,1,1,0.075000,1864,63,13,4,587,17.7700,0.5259,42.072,1,83,1628,25.0,75.0,0.0,100.0
108,18,16,1,1,0,1,0,0,1,1,0.075000,1905,63,13,4,596,6.2600,0.5259,42.069,1,83,1628,50.0,50.0,25.0,75.0
108,19,16,1,1,1,1,0,0,1,1,0.075000,1892,63,13,4,596,7.1400,0.5371,42.967,1,83,1628,25.0,75.0,25.0,75.0
108,21,16,0,0,1,1,0,1,1,1,0.075000,1913,63,13,4,596,23.9400,0.5259,42.069,1,83,1628,50.0,50.0,25.0,75.0
108,22,16,0,0,0,1,1,1,1,0,0.075000,1913,63,13,4,596,12.6200,0.5259,42.069,1,83,1628,50.0,50.0,50.0,50.0
108,24,16,1,0,1,1,1,0,1,0,0.075000,1904,63,13,4,596,11.9100,0.5259,42.069,1,83,1628,0.0,100.0,75.0,25.0
108,25,16,0,0,1,1,0,1,0,1,0.075000,1910,63,13,4,596,13.7400,0.5259,42.069,1,83,1628,75.0,25.0,25.0,75.0
108,26,16,0,0,0,1,0,0,0,1,0.075000,1324,47,9,4,588,11.2600,0.3461,27.684,1,83,1628,100.0,0.0,50.0,50.0
108,28,16,0,0,0,1,1,1,0,1,0.075000,1910,63,13,4,596,14.5600,0.5259,42.069,1,83,1628,75.0,25.0,25.0,75.0
108,29,16,0,0,1,0,1,0,1,0,0.074000,1455,49,13,4,592,11.5700,0.4241,33.929,1,83,1628,25.0,75.0,100.0,0.0
109,1,16,1,1,0,1,0,0,0,0,0.075000,1903,63,13,4,596,4.0100,0.5259,42.069,1,83,1628,75.0,25.0,50.0,50.0
109,6,16,0,1,1,1,0,1,0,0,0.075000,1903,63,13,4,596,4.2100,0.5259,42.069,1,83,1628,75.0,25.0,25.0,75.0
109,9,16,0,0,1,1,1,1,1,1,0.075000,1897,63,13,4,596,25.3900,0.5371,42.967,1,83,1628,25.0,75.0,25.0,75.0
109,10,16,0,0,0,0,0,1,0,1,0.075000,1324,47,9,4,588,13.4400,0.3461,27.684,1,83,1628,100.0,0.0,50.0,50.0
109,11,16,0,0,0,1,1,0,0,1,0.075000,1903,63,13,4,596,11.2700,0.5259,42.069,1,83,1628,75.0,25.0,50.0,50.0
109,19,16,1,0,0,0,1,0,0,1,0.075000,1919,63,13,4,596,11.1500,0.5259,42.069,1,83,1628,50.0,50.0,75.0,25.0
109,20,16,0,0,1,1,1,1,0,1,0.075000,1910,63,13,4,596,14.5600,0.5259,42.069,1,83,1628,50.0,50.0,25.0,75.0
109,21,16,1,1,0,0,0,0,0,0,0.075000,1897,63,13,4,596,3.8400,0.5371,42.967,1,83,1628,75.0,25.0,75.0,25.0
109,22,16,0,1,0,1,0,1,1,0,0.075000,1903,63,13,4,596,3.9700,0.5259,42.069,1,83,1628,75.0,25.0,25.0,75.0
109,24,16,0,0,1,0,1,0,0,0,0.074000,1455,49,13,4,592,10.9700,0.4241,33.929,1,83,1628,50.0,50.0,100.0,0.0
109,25,16,0,1,1,0,1,0,1,0,0.075000,1910,63,13,4,596,3.1700,0.5259,42.069,1,83,1628,25.0,75.0,75.0,25.0
110,1,16,0,0,1,1,0,0,0,1,0.075000,1903,63,13,4,596,11.2600,0.5259,42.069,1,83,1628,75.0,25.0,50.0,50.0
110,6,16,0,0,1,0,1,0,1,1,0.075000,1916,63,13,4,596,12.0300,0.5259,42.069,1,83,1628,25.0,75.0,75.0,25.0
110,9,16,1,0,1,1,1,1,0,1,0.075000,1910,63,13,4,596,14.5600,0.5259,42.069,1,83,1628,25.0,75.0,25.0,75.0
110,10,16,0,0,0,1,0,1,0,0,0.075000,1327,48,9,4,590,11.8400,0.3461,27.684,1,83,1628,100.0,0.0,50.0,50.0
110,11,16,1,1,1,1,1,1,1,0,0.075000,1902,63,13,4,596,5.4400,0.5259,42.069,1,83,1628,0.0,100.0,25.0,75.0
110,15,16,0,0,1,0,0,0,0,1,0.075000,1916,63,13,4,596,11.1500,0.5259,42.069,1,83,1628,75.0,25.0,75.0,25.0
110,20,16,1,1,1,1,0,1,1,0,0.075000,1903,63,13,4,596,6.4500,0.5259,42.069,1,83,1628,25.0,75.0,25.0,75.0
110,24,16,1,1,1,1,1,1,0,1,0.075000,1864,63,13,4,587,21.3400,0.5259,42.072,1,83,1628,25.0,75.0,0.0,100.0
110,28,16,0,1,0,0,0,1,1,0,0.075000,1903,63,13,4,596,3.7100,0.5259,42.069,1,83,1628,75.0,25.0,50.0,50.0
111,0,16,1,1,1,1,1,0,1,1,0.075000,1904,63,13,4,596,9.8800,0.5259,42.069,1,83,1628,0.0,100.0,25.0,75.0
111,1,16,0,0,1,0,0,0,0,0,0.074000,1455,49,13,4,592,10.9600,0.4241,33.929,1,83,1628,75.0,25.0,100.0,0.0
111,11,16,1,0,1,0,1,0,0,1,0.075000,1916,63,13,4,596,11.1500,0.5259,42.069,1,83,1628,25.0,75.0,75.0,25.0
111,13,16,1,0,1,1,1,1,0,0,0.075000,1910,63,13,4,596,12.2100,0.5259,42.069,1,83,1628,25.0,75.0,50.0,50.0
111,21,16,0,0,0,1,0,0,1,0,0.075000,1905,63,13,4,596,11.8500,0.5259,42.069,1,83,1628,75.0,25.0,75.0,25.0
111,22,16,0,0,1,1,0,1,0,0,0.075000,1910,63,13,4,596,11.8400,0.5259,42.069,1,83,1628,75.0,25.0,50.0,50.0
111,23,16,0,1,0,0,0,0,0,1,0.075000,1327,48,9,4,590,2.8000,0.3461,27.684,1,83,1628,100.0,0.0,50.0,50.0
111,25,16,1,1,0,0,0,1,1,1,0.075000,1905,63,13,4,596,8.8600,0.5259,42.069,1,83,1628,50.0,50.0,25.0,75.0
111,29,16,1,0,1,0,1,0,1,1,0.075000,1914,63,13,4,596,12.0300,0.5259,42.069,1,83,1628,0.0,100.0,75.0,25.0
112,12,16,0,1,0,1,1,0,1,1,0.075000,1908,63,13,4,596,4.8200,0.5259,42.069,1,83,1628,50.0,50.0,25.0,75.0
112,21,16,0,0,1,0,1,1,1,0,0.075000,1905,63,13,4,596,12.2500,0.5259,42.069,1,83,1628,25.0,75.0,75.0,25.0
112,24,16,1,1,0,1,1,1,1,0,0.075000,1903,63,13,4,596,6.9400,0.5259,42.069,1,83,1628,25.0,75.0,25.0,75.0
113,3,16,0,1,1,0,0,1,0,1,0.075000,1905,63,13,4,596,5.2500,0.5259,42.069,1,83,1628,75.0,25.0,25.0,75.0
113,5,16,0,0,1,0,0,1,1,1,0.075000,1906,63,13,4,596,23.4800,0.5259,42.069,1,83,1628,50.0,50.0,50.0,50.0
113,8,16,0,1,1,1,0,0,0,0,0.075000,1903,63,13,4,596,3.0600,0.5259,42.069,1,83,1628,75.0,25.0,50.0,50.0
113,11,16,1,0,0,1,0,0,1,1,0.075000,1903,63,13,4,596,12.3400,0.5259,42.069,1,83,1628,50.0,50.0,50.0,50.0
113,17,16,0,0,1,1,1,1,0,0,0.075000,1897,63,13,4,596,12.2100,0.5371,42.967,1,83,1628,50.0,50.0,50.0,50.0
113,18,16,0,0,1,1,0,0,0,0,0.075000,1892,63,13,4,596,11.0800,0.5371,42.967,1,83,1628,75.0,25.0,75.0,25.0
113,21,16,0,1,0,1,0,1,0,0,0.074000,1322,48,9,4,590,3.5100,0.3461,27.684,1,83,1628,100.0,0.0,25.0,75.0
113,23,16,1,0,1,1,1,1,1,0,0.075000,1909,63,13,4,596,12.6200,0.5259,42.069,1,83,1628,0.0,100.0,50.0,50.0
113,27,16,0,1,0,1,1,1,0,0,0.075000,1903,63,13,4,596,3.7900,0.5259,42.069,1,83,1628,75.0,25.0,25.0,75.0
114,10,16,0,1,1,1,0,1,1,0,0.075000,1906,63,13,4,596,4.7800,0.5259,42.069,1,83,1628,50.0,50.0,25.0,75.0
114,11,16,0,0,0,1,1,0,0,0,0.075000,1905,63,13,4,596,11.0900,0.5259,42.069,1,83,1628,75.0,25.0,75.0,25.0
114,14,16,1,1,1,1,0,0,0,1,0.075000,1908,63,13,4,596,5.9700,0.5259,42.069,1,83,1628,50.0,50.0,25.0,75.0
114,22,16,1,1,1,1,1,1,0,0,0.075000,1890,63,13,4,596,7.2100,0.5371,42.967,1,83,1628,25.0,75.0,25.0,75.0
114,24,16,1,0,1,1,1,0,1,1,0.075000,1901,62,13,4,594,12.3600,0.5259,42.069,1,83,1628,0.0,100.0,50.0,50.0
115,12,16,0,0,1,1,1,0,1,1,0.075000,1903,63,13,4,596,12.3600,0.5259,42.069,1,83,1628,25.0,75.0,50.0,50.0
115,13,16,0,1,0,0,0,1,0,0,0.075000,1324,47,9,4,588,3.3400,0.3461,27.684,1,83,1628,100.0,0.0,50.0,50.0
115,19,16,1,1,1,1,0,1,0,0,0.075000,1906,63,13,4,596,5.6900,0.5259,42.069,1,83,1628,50.0,50.0,25.0,75.0
115,27,16,0,0,1,0,1,0,0,1,0.075000,1916,63,13,4,596,11.1500,0.5259,42.069,1,83,1628,50.0,50.0,75.0,25.0
116,2,16,0,0,1,1,1,0,0,0,0.075000,1905,63,13,4,596,11.0900,0.5259,42.069,1,83,1628,50.0,50.0,75.0,25.0
116,3,16,1,0,1,0,1,1,1,1,0.075000,1901,62,13,4,594,23.6900,0.5259,42.069,1,83,1628,0.0,100.0,50.0,50.0
116,16,16,0,0,1,0,0,1,0,1,0.075000,1903,63,13,4,596,13.4400,0.5259,42.069,1,83,1628,75.0,25.0,50.0,50.0
116,26,16,1,1,1,0,0,1,0,0,0.075000,1906,63,13,4,596,4.5600,0.5259,42.069,1,83,1628,50.0,50.0,50.0,50.0
